to snow,nevar,nevando,nievo,nievas,nieva,nevamos,nievan,nevé,nevaste,nevó,nevamos,nevaron
to offer,ofrecer,ofreciendo,ofrezco,ofreces,ofrece,ofrecemos,ofrecen,ofrecí,ofreciste,ofreció,ofrecimos,ofrecieron
to hear,oír,oyendo,oigo,oyes,oye,oímos,oyen,oí,oíste,oyó,oímos,oyeron
to pay,pagar,pagando,pago,pagas,paga,pagamos,pagan,pagué,pagaste,pagó,pagamos,pagaron
to palpitate,palpitar,palpitando,palpito,palpitas,palpita,palpitamos,palpitan,palpité,palpitaste,palpitó,palpitamos,palpitaron
to stop,parar,parando,paro,paras,para,paramos,paran,paré,paraste,paró,paramos,pararon
to seem,paracer,pareciendo,parezco,pareces,parece,parecemos,parecen,parecí,pareciste,pareció,parecimos,parecieron
to pass; to happen,pasar,pasando,paso,pasas,pasa,pasamos,pasan,pasé,pasaste,pasó,pasamos,pasaron
to go for a walk,pasear,paseando,paseo,paseas,pasea,paseamos,pasean,paseé,paseaste,paseó,paseamos,pasearon
to skate,patinar,patinando,patino,patinas,patina,patinamos,patinan,patiné,patinaste,patinó,patinamos,patinaron
to ask for; to request,pedir,pidiendo,pido,pides,pide,pedimos,piden,pedí,pediste,pidió,pedimos,pidieron
to intend,pensar,pensando,pienso,piensas,piensa,pensamos,piensan,pensé,pensaste,pensó,pensamos,pensaron
to lose; to miss,perder,perdiendo,pierdo,pierdes,pierde,perdemos,pierden,perdí,perdiste,perdió,perdimos,perdieron
to fish,pescar,pescando,pesco,pescas,pesca,pescamos,pescan,pesqué,pescaste,pescó,pescamos,pescaron
to paint,pintar,pintando,pinto,pintas,pinta,pintamos,pintan,pinté,pintaste,pintó,pintamos,pintaron
to be able to; can,poder,pudiendo,puedo,puedes,puede,podemos,pueden,pude,pudiste,pudo,pudimos,pudieron
to put; to place,poner,poniendo,pongo,pones,pone,ponemos,ponen,puse,pusiste,puso,pusimos,pusieron
to practice,practicar,practicando,practico,practicas,practica,practicamos,practican,practiqué,practicaste,practicó,practicamos,practicaron
to prefer,preferir,prefiriendo,prefiero,prefieres,prefiere,preferimos,prefieren,preferí,preferiste,prefirió,preferimos,prefirieron
to ask (a question),preguntar,preguntando,pregunto,preguntas,pregunta,preguntamos,preguntan,pregunté,preguntaste,preguntó,preguntamos,preguntaron
to prepare,preparar,preparando,preparo,preparas,prepara,preparamos,preparan,preparé,preparaste,preparó,preparamos,prepararon
to lend,prestar,prestando,presto,prestas,presta,prestamos,prestan,presté,prestaste,prestó,prestamos,prestaron
to want; to love,querer,queriendo,quiero,quieres,quiere,queremos,quieren,quise,quisiste,quiso,quisimos,quisieron
to receive,recibir,recibiendo,recibo,recibes,recibe,recibimos,reciben,recibí,recibiste,recibió,recibimos,recibieron
to remember,recordar,recordando,recuerdo,recuerdes,recuerde,recordamos,recuerden,recordé,recordaste,recordó,recordamos,recordaron
to haggle; to bargain,regatear,regateando,regateo,regeateas,regatea,regatemos,regaten,regateé,regateaste,regateó,regateamos,regatearon
to return to a place; to return an object,regresar,regresando,regreso,regresas,regresa,regresamos,regresan,regresé,regresaste,regresó,regresamos,regresaron
to do again; to repeat,repetir,repitiendo,repito,repites,repite,repetimos,repiten,repetí,repetiste,repitió,repetimos,repitieron
to know (saber); to taste,saber,sabiendo,sé,sabes,sabe,sabemos,saben,supe,supiste,supo,supimos,supieron
to leave,salir,saliendo,salgo,sales,sale,salimos,salen,salí,saliste,salió,salimos,salieron
to saturate,saturar,saturando,saturo,saturas,satura,saturamos,saturan,saturé,saturaste,saturó,saturamos,saturaron
to follow; to continue,seguir,siguiendo,sigo,sigues,sigue,seguimos,siguen,seguí,seguiste,siguió,seguimos,siguieron
to feel,sentir,sintiendo,siento,sientes,siente,sentimos,sienten,sentí,sentiste,sintió,sentimos,sintieron
to be useful; to serve,servir,sirviendo,sirvo,sirves,sirve,servimos,sirven,serví,serviste,sirvió,servimos,sirvieron
to be (ser),ser,siendo,soy,eres,es,somos,son,fui,fuiste,fue,fuimos,fueron
to go up,subir,subiendo,subo,subes,sube,subimos,suben,subí,subiste,subió,subimos,subieron
to suppose,suponer,suponiendo,supongo,supones,supone,suponemos,suponen,supuse,supusiste,supuso,supusimos,supusieron
to have,tener,teniendo,tengo,tienes,tiene,tenemos,tienen,tuve,tuviste,tuvo,tuvimos,tuvieron
to end; to finish,terminar,terminando,termino,terminas,termina,terminamos,terminan,terminé,terminaste,terminó,terminamos,terminaron
to touch; to play (a musical instrument),tocar,tocando,toco,tocas,toca,tocamos,tocan,toqué,tocaste,tocó,tocamos,tocaron
to take; to drink,tomar,tomando,tomo,tomas,toma,tomamos,toman,tomé,tomaste,tomó,tomamos,tomaron
to work,trabajar,trabajando,trabajo,trabajas,trabaja,trabajamos,trabajan,trabajé,trabajaste,trabajó,trabajamos,trabajaron
to translate,traducir,traduciendo,traduzco,traduces,traduce,traducimos,traducen,traduje,tradujiste,tradujo,tradujimos,tradujeron
